n,t_count,instance,n_query,mae,wall_seconds,n_nonzero
10,12,2,1000,0.2938175029955844,2.2921018600463867,36591
10,12,2,2000,0.2377272978207428,6.371277093887329,31939
10,12,2,4000,0.07043751857272436,9.139123439788818,14739
10,12,2,8000,0.03953494950093658,14.67522644996643,9325
10,14,0,1000,0.6056326856916998,2.370112419128418,37178
10,14,0,2000,0.19657348529943888,3.620328426361084,27321
10,14,0,4000,0.4046287890448429,9.41498351097107,39862
10,14,0,8000,0.05820520022137863,22.125173807144165,9835
10,14,1,1000,0.21090088208926244,3.876971483230591,33238
10,14,1,2000,0.17066226366201354,5.17526650428772,23315
10,14,1,4000,0.20924663229129098,8.375609636306763,19751
10,14,1,8000,0.09767906375274403,15.117261171340942,13164
10,14,2,1000,0.3001112762049699,2.089256763458252,30631
10,14,2,2000,0.13184919942463735,5.549751281738281,22717
10,14,2,4000,0.09944685644270528,8.786551475524902,14019
10,14,2,8000,0.10231339552024392,13.18066930770874,14478
10,16,0,1000,0.8178897946961603,1.824228048324585,36055
10,16,0,2000,0.1855567688911948,5.352391719818115,28830
10,16,0,4000,0.09909979217812102,8.923986434936523,19557
10,16,0,8000,0.08469617158029877,14.001868963241577,12245
10,16,1,1000,0.21743931627777044,1.8605740070343018,32360
10,16,1,2000,0.11563210617724666,3.527744770050049,27387
10,16,1,4000,0.08416380112544133,6.506126165390015,13423
10,16,1,8000,0.05119876118128373,16.080281972885132,11403
10,16,2,1000,0.21660813820649177,2.080291509628296,31665
10,16,2,2000,0.23366783017192114,4.137791872024536,23072
10,16,2,4000,0.15056215805289228,11.458464622497559,18045
10,16,2,8000,0.17612372148755234,14.63051438331604,21419
12,0,0,1000,0.4871568720946183,22.50908875465393,221332
12,0,0,2000,0.26662562375646787,50.750781536102295,136978
12,0,0,4000,0.13771652909495954,95.42619800567627,84652
12,0,0,8000,0.08012717933414482,155.1661720275879,53104
12,0,1,1000,0.46788652707338674,28.10108256340027,219065
12,0,1,2000,0.34567818948545953,51.56165099143982,143258
12,0,1,4000,0.1676664895251298,108.06418538093567,89106
12,0,1,8000,0.08300795498855376,181.5629436969757,51671
12,0,2,1000,0.51944746419534,30.213862895965576,218008
12,0,2,2000,0.23902642266758192,49.96770668029785,138645
12,0,2,4000,0.3558350241723816,81.90660572052002,96503
12,0,2,8000,0.1600602200465245,150.91537070274353,56901
12,2,0,1000,0.44368750566066917,18.69092869758606,217215
12,2,0,2000,0.26217853273474356,50.02668213844299,141857
12,2,0,4000,0.23254289243151088,96.0742769241333,88603
12,2,0,8000,0.09456677342583081,157.43256783485413,56634
12,2,1,1000,0.447230414385991,25.86574363708496,216798
12,2,1,2000,0.22823216878052702,34.07251977920532,140425
12,2,1,4000,0.149570476651171,102.08719730377197,85907
12,2,1,8000,0.10815318542900074,189.55033421516418,55274
12,2,2,1000,0.44111889147200756,27.94538426399231,206239
12,2,2,2000,0.2764653862538521,46.536444902420044,135983
12,2,2,4000,0.13417175481593624,82.09785604476929,88610
12,2,2,8000,0.0810904807047056,151.0107343196869,51088
12,4,0,1000,2.5925469390568194,18.549500942230225,257919
12,4,0,2000,0.2969730024249221,40.7322678565979,139586
12,4,0,4000,0.2011649054655013,80.73182606697083,90577
12,4,0,8000,0.09762615624536974,140.148286819458,58251
12,4,1,1000,0.5393127442899406,23.218759059906006,213444
12,4,1,2000,0.41017869028481624,34.731842041015625,155686
12,4,1,4000,0.14792659562645072,97.18758392333984,84939
12,4,1,8000,0.240784581275103,179.77824234962463,71749
12,4,2,1000,0.4977624952513973,25.234752655029297,208819
12,4,2,2000,0.30310256447891487,41.87573266029358,144675
12,4,2,4000,0.12764872164186797,80.37899112701416,87052
12,4,2,8000,0.09718905511714468,148.69547939300537,61529
12,6,0,1000,0.5660688885713769,19.39763903617859,219086
12,6,0,2000,0.25845079196446624,38.43991756439209,145425
12,6,0,4000,0.1505953757285326,82.80540466308594,87354
12,6,0,8000,0.18879921589447354,150.08000659942627,62108
12,6,1,1000,0.5794538291958045,21.284582376480103,228838
12,6,1,2000,0.2570554523235774,32.86482119560242,136528
12,6,1,4000,0.16755963536838592,92.81662034988403,89807
12,6,1,8000,0.0849758897193922,172.16746830940247,52412
12,6,2,1000,0.6133826614924502,28.507023096084595,213002
12,6,2,2000,0.5533474331237285,39.183269023895264,145417
12,6,2,4000,0.12626597681546117,80.1898980140686,87199
12,6,2,8000,0.10301296435649647,147.47708892822266,57944
12,8,0,1000,0.4322664955512116,19.06544256210327,212822
12,8,0,2000,0.2915520256293537,37.82331824302673,140765
12,8,0,4000,0.1543594976632467,84.77192544937134,96295
12,8,0,8000,0.08951719627405587,151.41385173797607,52319
12,8,1,1000,1.1660351227231867,24.881960153579712,223651
12,8,1,2000,0.29410471508427705,33.944546937942505,139482
12,8,1,4000,0.11290930922912681,87.78081965446472,85704
12,8,1,8000,0.10765805905004242,180.99207735061646,58398
12,8,2,1000,0.5738493265081022,21.497103214263916,217371
12,8,2,2000,0.31431434204146225,39.93413805961609,140334
12,8,2,4000,0.123684870308379,83.36767506599426,87630
12,8,2,8000,0.08065567002694125,149.53919744491577,54134
12,10,0,1000,0.4753786621523325,17.873738050460815,222783
12,10,0,2000,0.31747960850772194,39.80403995513916,148338
