unitary_idx,tau,N,distribution,mse,mae
6,0.15,500,haar,0.014163,0.096188
6,0.25,50,computational,0.142918,0.295978
6,0.25,50,stabilizer,0.124599,0.266678
6,0.25,50,haar,0.031720,0.142835
6,0.25,100,computational,0.040875,0.165471
6,0.25,100,stabilizer,0.044639,0.173325
6,0.25,100,haar,0.021434,0.118676
6,0.25,150,computational,0.034126,0.156803
6,0.25,150,stabilizer,0.036375,0.156031
6,0.25,150,haar,0.016536,0.101922
6,0.25,200,computational,0.053920,0.190755
6,0.25,200,stabilizer,0.022263,0.117776
6,0.25,200,haar,0.018149,0.105768
6,0.25,250,computational,0.012175,0.090539
6,0.25,250,stabilizer,0.023493,0.123507
6,0.25,250,haar,0.017188,0.107148
6,0.25,300,computational,0.023214,0.128374
6,0.25,300,stabilizer,0.024008,0.122943
6,0.25,300,haar,0.014654,0.094912
6,0.25,350,computational,0.018878,0.112131
6,0.25,350,stabilizer,0.020151,0.113833
6,0.25,350,haar,0.016937,0.103596
6,0.25,400,computational,0.017680,0.103606
6,0.25,400,stabilizer,0.018298,0.113597
6,0.25,400,haar,0.014307,0.093820
6,0.25,450,computational,0.016822,0.105977
6,0.25,450,stabilizer,0.019280,0.111718
6,0.25,450,haar,0.014529,0.097152
6,0.25,500,computational,0.011632,0.084475
6,0.25,500,stabilizer,0.020394,0.117133
6,0.25,500,haar,0.013833,0.093613
